"名称","品牌","评分","年份","属性","香调"
"香奈儿 感性魅力Chanel Allure Sensuelle, 2005","香奈儿 ",8.5,2005,"女香 ","东方花香调  "
"浪凡 谣言（美丽传说）Lanvin Rumeur, 2006","浪凡 ",8.5,2006,"女香 ","木质花香调  "
"三宅一生 气息Issey Miyake A Scent by Issey Miyake, 2009","三宅一生 ",8.5,2009,"女香 ","花香调  "
"约翰·瓦维托斯 暗黑革命John Varvatos Dark Rebel, 2015","约翰·瓦维托斯 ",8.5,2015,"男香 ","木质东方调  "
"汤姆·福特 午夜兰花Tom Ford Black Orchid, 2006","汤姆·福特 ",8.5,2006,"女香 ","东方花香调  "
"娇兰 帝王之水Guerlain Eau de Cologne Imperiale, 1860","娇兰 ",8.5,1860,"女香 ","柑橘馥奇香调  "
"高缇耶 裸男Jean Paul Gaultier Le Male, 1995","高缇耶 ",8.5,1995,"男香 ","东方馥奇香调  "
"祖玛珑 杏桃花与蜂蜜Jo Malone Nectarine Blossom & Honey, 2005","祖玛珑 ",8.5,2005,"中性香","花果香美食调  "
"马克·雅可布 小雏菊Marc Jacobs Daisy, 2007","马克·雅可布 ",8.5,2007,"女香 ","木质花香调  "
"蒂埃里·穆勒 异型（琥珀）Mugler Alien, 2005","蒂埃里·穆勒 ",8.5,2005,"女香 ","木质东方调  "
"约翰·瓦维托斯 艺术工匠（黄藤编）John Varvatos Artisan, 2009","约翰·瓦维托斯 ",8.5,2009,"男香 ","柑橘馥奇香调  "
"娇兰 爱之鼓Guerlain Chamade, 1969","娇兰 ",8.4,1969,"女香 ","东方花香调  "
"祖玛珑 白茉莉与薄荷Jo Malone White Jasmine & Mint, 2007","祖玛珑 ",8.4,2007,"中性香","绿叶花香调  "
"博柏利 风格女士Burberry Brit, 2003","博柏利 ",8.4,2003,"女香 ","花香果香调  "
"浪凡 我的罪Lanvin Jeanne Lanvin My Sin, 1924","浪凡 ",8.4,1924,"女香 ","醛香花香调  "
"梵克雅宝 午夜巴黎Van Cleef & Arpels Midnight in Paris, 2010","梵克雅宝 ",8.4,2010,"男香 ","东方调  "
"普拉达 鸢尾花（艾丽斯）Prada Infusion d'Iris, 2007","普拉达 ",8.4,2007,"女香 ","木质花香调  "
"祖玛珑 伯爵茶与黄瓜Jo Malone Earl Grey & Cucumber, 2011","祖玛珑 ",8.4,2011,"中性香","馥奇香调  "
"博柏利 绵羊宝贝Burberry Baby Touch, 2002","博柏利 ",8.4,2002,"中性香","柑橘美食调  "
"普拉达 糖果Prada Candy, 2011","普拉达 ",8.4,2011,"女香 ","东方美食调  "
"蒂埃里·穆勒 天使Mugler Angel, 1992","蒂埃里·穆勒 ",8.4,1992,"女香 ","东方美食调  "
"凯文克莱 唯一Calvin Klein CK One, 1994","凯文克莱 ",8.4,1994,"中性香","柑橘馥奇香调  "
"纪梵希 圆周率π派Givenchy Pi, 1998","纪梵希 ",8.4,1998,"男香 ","木质东方调  "
"浪凡 我愿意（嫁给我）Lanvin Marry Me, 2010","浪凡 ",8.3,2010,"女香 ","花香果香调  "
"爱马仕 漂亮朋友Hermes Bel Ami, 1986","爱马仕 ",8.3,1986,"男香 ","木质甘苔调  "
"杰弗里·比尼 灰色法兰绒Geoffrey Beene Grey Flannel, 1975","杰弗里·比尼 ",8.3,1975,"男香 ","木质东方调  "
"王薇薇 公主Vera Wang Princess, 2006","王薇薇 ",8.3,2006,"女香 ","东方花香调  "
"高田贤三 爱慕（千里之爱）Kenzo Amour, 2006","高田贤三 ",8.3,2006,"女香 ","东方美食调  "
"蒂埃里·穆勒 女人味Mugler Womanity, 2010","蒂埃里·穆勒 ",8.3,2010,"女香 ","：蒂埃里·穆勒调香师：Alexis Dadier, Mane 属性：女香  <U+00A0><U+00A0>  "
"密使 同名香水Agent Provocateur, 2000","密使 ",8.3,2000,"女香 ","木质花香调  "
"圣罗兰 梦幻剧星YSL Yves Saint Laurent Cinema, 2004","圣罗兰 ",8.3,2004,"女香 ","东方花香调  "
"D二次方 我愿意木缘男士DSQUARED2 He Wood, 2007","D二次方 ",8.2,2007,"男香 ","木质馥奇香调  "
"川久保玲 奇迹之木Comme des Garcons Wonderwood, 2010","川久保玲 ",8.2,2010,"男香 ","木质调  "
"浪凡 玫瑰传说Lanvin Rumeur 2 Rose, 2006","浪凡 ",8.2,2006,"女香 ","花香果香调  "
"爱马仕 龙涎柑橘Hermes Eau de Mandarine Ambrée, 2013","爱马仕 ",8.2,2013,"中性香","柑橘馥奇香调  "
"莎拉·杰西卡·帕克 可爱Sarah Jessica Parker Lovely, 2005","莎拉·杰西卡·帕克 ",8.2,2005,"女香 ","木质花香调  "
"杜嘉班纳 真爱西西里（花朵）<U+200D>Dolce&Gabbana Dolce, 2014","杜嘉班纳 ",8.2,2014,"女香 ","花香调  "
"维特&罗夫 鲜花炸弹Viktor&Rolf Flowerbomb, 2005","维特&罗夫 ",8.2,2005,"女香 ","东方花香调  "
"普拉达 琥珀男士香水（同名男士）Prada Amber Pour Homme (Prada Man), 2006","普拉达 ",8.2,2006,"男香 ","东方馥奇香调  "
"迪奥 典藏系列-琥珀幽夜Dior Ambre Nuit, 2018","迪奥 ",8.2,2018,"中性香","东方调  "
"汤姆·福特 同名男士Tom Ford for Men, 2007","汤姆·福特 ",8.2,2007,"男香 ","木质花香调  "
"水莲娜 粉红棉花糖Aquolina Pink Sugar, 2004","水莲娜 ",8.1,2004,"女香 ","花果香美食调  "
"卡地亚之水Cartier Eau de Cartier, 2001","卡地亚之水Cartier ",8.1,2001,"中性香","柑橘馥奇香调  "
"高缇耶 纯白（男人花）Jean Paul Gaultier Fleur du Male, 2007","高缇耶 ",8.1,2007,"男香 ","馥奇香调  "
"迪奥 典藏系列-迷雾香根草Dior La Collection Couturier Parfumeur Vetiver, 2010","迪奥 ",8.1,2010,"中性香","木质调  "
"雅诗兰黛 霓彩伊甸Estée Lauder Beyond Paradise, 2003","雅诗兰黛 ",8.1,2003,"女香 ","花香调  "
"汤姆·福特 天鹅绒兰花Tom Ford Velvet Orchid, 2014","汤姆·福特 ",8.1,2014,"女香 ","东方花香调  "
